id,archive_sha256,source_files,source_bytes,reference_path_files,optimized_path_files,additional_path_files,avx_path_files,arm_path_files,nested_rar
kem-14,ed443d6a9e2e6c50e4956e9b30ce078ae0598a8846962d04b9894cac0816527b,4876,23147171,1497,2018,4023,73,4023,0
kem-15,6c560f434b347fbac8334f55b9ba2838cb1cf885d5aa25e95acb66ed6c6de0fe,424,2410730,102,154,178,28,0,0
kem-16,718bb70eee268550fcef2a82e8eb9879c51ecfdbaefd6bfe2157e7639ffc8557,123,472258,20,26,20,6,25,0
kem-17,3780991127f49b6397b4182d32b35ab7a6359bf825a707e90df0f809beeb3790,65,754981,0,0,0,0,0,0
kem-18,a6e5070647a40e7de1bf6e5b085dc1d6423c003a409864fdb303d87f881cec0b,120,1022742,40,40,40,0,0,0
kem-19,e33130fb45a3b1e220f8043739d1396a884c0043cb4336104e67e5404c7cc725,946,4689217,296,650,0,330,320,0
kem-20,ae363dbefd69d64e99987b64105d60bfa376d97c8b58b055665761559c44c78b,1363,7442981,512,704,0,2,0,0
kem-21,cdf52bb77066664f74eb44872d5ab1785c22df194e50c603120432a169c61f4c,1001,5026480,310,662,0,72,0,0
kem-22,9fed68e7923c6bc9ede072183f7d3983058f88deec5534e779ed2200ee4f7f9f,382,2522287,81,138,165,6,0,0
kem-23,ee11788a3e8bf8653d18ade6580c47a331b91e7eac3e31a5a6750a4b4cfb827b,1116,7459936,558,558,0,0,0,0
kem-24,fdb6749116bddbb8a86074b9ab6f5f55d37540b92e3964906dede0b09c7faf4b,339,1983338,87,85,168,3,116,0
kem-25,8105c6241a322661411e870a3087338f48f4f5c477a540387b800c08955cc7fd,1836,13398876,456,924,924,468,924,0
kem-26,033994e27bf0dc824078593a98eb51465f979b1bca0932cabb29be6626447638,112,1002674,56,56,0,0,0,0
kem-27,9c0bad4c4846998df1214ba562e1c3b8aece6b69f08234a9bb0d89e3a5a4ea9a,204,1011386,96,102,0,0,0,0
kem-28,aaab8e0692fd19dd2edda5384b5e85bba74661d478823b48cab3cccb53675756,158,1067925,45,68,45,6,0,0
kem-29,3ae9d4f1a717fb473e76447014d585cd5d14fe38728f02b1a044cc6a2d03e16d,96,594553,48,48,0,0,0,0
kem-30,906be26ce8d27de335b691ff8490b2344b46d7519d88c799cba0242324e4882c,600,5868008,135,465,0,15,290,0
kem-31,eff17fd345bbb44cbaeb822bece3c0b82b8d00f49278e72a89c83e2551c1752a,281,5620898,0,143,0,0,0,0
kem-32,24a3986a4fbb852a677267a6443756328eae3642af770e767fe38f8291f294db,202,1602145,118,84,0,0,0,0
kem-33,f5eedd8a4bf786cd5a56a21f2c7ad5cf3307939a1bf0aeca5041920067880396,292,2953498,180,112,0,4,0,0
kem-34,569d526cf7abe38393f69a4513686fa86a0c3b3033cc225b84cc107b20b17b98,2988,13896706,87,109,2788,3,2730,0
kem-35,050aad7293ec90fafd9070e82877eedc81caf0aaaca932c995619a3f35429876,87,447226,19,35,0,14,6,0
kem-36,03956a13fde3d402513bfcf9942f2b04fd23e98b01a3dc52b48938b9c89fe4d6,120,691700,60,60,0,0,0,0
kem-37,1e4b96e7a849c95b4a6511c5739be9e0b4adf19b00195c2c0ce14f66be316876,272,1578315,132,140,0,0,0,0
kem-38,f9a1b135ea16aca0c974861732e03cd3164f1288f33ff150ff66c98326b75bcb,78,31898448,39,39,0,0,0,0
kem-39,9b0bad96e9bc836b0ff811492a70891066df5634ee47fda4d1518dccd4e09927,300,1615451,138,162,0,23,0,0
kem-40,fe1bf3d78272bb79048e7d456819160324c6140206798cb77a22c2babcfdcf4a,126,831804,63,63,0,0,0,0
kem-41,69eba070320fc6cb365fb6d43d2b74460487732aeb7e607fac2d6c1b3a64a80e,4092,23228202,65,4029,0,63,3901,0
kex-01,bbadecca0ce9d3f3131129b17c91e0ab89a81e077710e53f7a569a30475a23f2,1482,9428572,246,894,720,282,720,0
kex-02,7d902107b74870e512c84da82c6bfb386633ca864ddc7df2f7b0b183511f983a,1565,7991826,183,371,1104,371,1104,0
kex-03,0b356074741bc20fa82132719e1678e001083b9746f5c4c582425b727b511741,1287,9212512,625,662,0,16,0,0
kex-04,979c22239b4a2fb6732e68029c06659f8a7b582c00ca163e1ec72874b227e117,2046,12516752,384,1170,1008,282,1008,0
kex-05,e9e7ff0fb453a371634797febeaeac7c1f081b5fd2438204787c763667482ec4,606,5596254,255,351,0,51,0,0
kex-06,79b53ff726121ccb1ce970003c06b605e973c4e4f452dbe780e70cd4c40ca018,541,3168003,256,240,0,0,0,0
kex-07,da75005b4060167f25125cbd1a769ed872c8b6fcb770fe0827a599e44536e8e6,756,5252454,378,378,0,378,0,0
kex-08,4f79f9a62aed06db83f2965abcc42ca98ce5cc2128cebd15b50a46cfbb633dbe,232,19362508,81,97,54,0,0,0
kex-09,dde9bf3e8d75fc3df53bcbcacaba4faed39272b8ef2f1ac199ae0128d327b505,272,1795882,132,140,0,0,0,0
hash-01,6a4b3d3ca5c225ad7d8714878e12f10cbf92aa6e081a8b85f504b6eeb2f4188b,154,950007,52,79,0,6,0,0
hash-02,a7c6aa6d30642cc05207acb4d2aa3701dd40945cb21f1bc0e51305ca8f57f81d,54,1204147,27,27,0,0,0,0
hash-03,d6b40f34b4c4af7ab1929816d8613220ed669aace6bfdd8d2e9496d90ddc5438,62,519058,24,24,14,0,0,0
hash-04,8953f95618236d8d86191992b10e3580ae74520c28a36a715c2fc8bea2a9e8c1,20,207956,10,10,0,0,0,0
hash-05,c398e49530510c9aa1deffd617855f9b8db448b4e30a35953d88ea0373c7d8e5,30,1098181,15,15,0,0,0,0
hash-06,b9192c8a4046d8af48ea19ddefd538f11dd456766b2daf3597762c76a2cc0d6d,132,1994935,15,58,42,43,43,0
hash-07,088759817e3193e0ca02c3a3669fd05ac70e833b0447f336666268b61846b26c,684,5582924,312,398,66,0,342,0
hash-08,989978bcefbe20124943b2003908226c48e0f05b5ec8db510e7cdb89c2299f1e,108,1213941,15,55,30,37,31,0
hash-09,5e2581d905b9a3d3a8c34c76ed73213c77da970a15cc6b3b26b2bb086b93e3f4,95,609380,40,41,0,6,0,0
hash-10,876082a40ecf3b25d8b19478cbfeab4bd5f96ff7a293aacc5b57a9f73c2ff26c,30,309682,15,15,0,0,0,0
hash-11,9cb659f7e01a64bdcce2a4fea8a7d6e6b5687b2a0ed8ce4ffe5fa86dd3e77646,46,657839,21,14,11,0,0,0
hash-12,42ceda5aa3da2fc74c2b21abfaace3f5af208aab40ef00fcca6d18cdd7a0a844,129,752733,29,18,18,0,0,0
hash-13,487f73e34dac7a06ae6718c4a38bcf757c1555676b107415f7b79b17d8c9cf92,20,186866,10,10,0,0,0,0
hash-14,9499a772e532577f85902c0f631a95af8e2fb4bc308da6466c076debd63d1415,40,260509,28,12,0,0,0,0
hash-15,16c798c93c6fbdc9ac3703113c120fe22df46569a93d7322aaba46effa3273eb,40,245660,28,12,0,0,0,0
hash-16,e79ca6ef17bcf0485ae2462cfe338e904f05551d7a8859271354d469072b3c2d,50,602137,24,24,0,0,0,0
hash-17,1f9773b8ece90152a6a9adc632a7112c9afc670a5d28b7f1e9ac111e5eea8f13,132,4301001,21,111,90,21,48,0
hash-18,70d0796942e60a1ddd25ad2332dbfe2755052825c301e9585167c90c1fa09d3d,38,366509,30,8,0,0,0,0
hash-19,dfdd7dd54361fb09e6d0bc47ae6245a9f992f284c56b04ff55d528e2339c9acc,60,533634,30,30,0,0,0,0
hash-20,f68c6b73ff4ac064e6bb8a9b74c4bd8a929594c3c48c89e1a65941e03676ea30,48,423438,30,18,0,0,0,0
hash-21,ffa76faaf6ae1c939ef6b1a726d6bcef19f0f0df63daddfe74a82e2831c4c6b3,50,482495,33,16,0,0,0,0
hash-22,0414e5f0039c2d352eb00c125554114931363dcea6b382052fdd20fbf25e0c31,30,296257,15,15,0,0,0,0
hash-23,10335345f6a6cca5e4be688ef42230dff983049483acecbd43f38febb7618609,33,288799,15,18,0,0,0,0
hash-24,d2b33441b42825ea10fd374adfdafea64525ad471159b4787c6dc2bd420f05d9,51,464521,15,15,15,0,3,0
hash-25,013bdcd9c7fdcce5bfbfaae84f02f20c5c4ae8a88cb742e7da3fddafeef2e7de,121,783400,27,54,0,0,38,0
hash-26,3368eff8f86744eefba82825c11990a3b4d914e014ff184324ab3cb9af88b3a4,38,325019,10,28,0,0,0,0
hash-27,dc1fa5612337e0aae3e236606c3e46322a513c21b1550ac8f20753790892637e,45,503127,15,15,15,0,0,0
hash-28,0aa9a5a64a54ddaa82b689d46971973825e48e0577685317d5f9bbab9ba85b02,33,680803,15,18,0,3,0,0
hash-29,96b67428bbeda82fd797d6f510466313a23f90ea00a5a0a58f4929b8e554a45b,33,682628,15,18,0,3,0,0
hash-30,47e6297d4d707897c64a75a0b490152b2c67abfb1777d89d225b4bcf58a0063b,108,864804,30,36,0,6,0,0
hash-31,b6da323d388d3411b882228152f25626999502b8c246cc0c9b64a0a9d72eaaac,108,867243,30,36,0,6,0,0
hash-32,235157f178c0ec885dad4062ee232cdc0d16e95474f05c6f93038fd951ca3712,108,866145,30,36,0,6,0,0
hash-33,db6970d54250084ea73cc1a47bd56c868e5e478cdfa3746ff7b69d30c690b0c8,684,5890256,312,398,66,0,342,0
hash-34,1ffeb0bd3f3645ea43decaacb0233c7dd23b9b127ac092efc0c12d6661f84023,36,475480,14,22,0,8,0,0
hash-35,f878ea89f5b5929c26445a4b1967f21139c74600d5779e4eb5d0bd7f97bea4b5,120,900203,14,56,28,0,28,0
